date,send,person,number,content
2020-04-22 18:24:10,0,,ada derana,Threeroda rathayaka ekawara mageen dedeneku pamanak ragena yaa yuthui.Siyalu ruupalawanyagara wasa thabiya yuthui - Saukya sewa adyaksha general
2020-04-22 18:49:09,0,,ada derana,Arthika punarjeewanaya ha dharidrathawa thuran kireema sadaha janadhipathi karya sadhaka balakayak pihituwai - PMD
2020-04-22 19:33:37,0,,ada derana,Thawath Covid-19 asadithayek haduna ganne.Asadithayin 323 dakwa ihalata.Thawath ayeku suwaya labai.Suwaya lebuu ganana 105 thek ihalata
2020-04-22 21:51:38,0,,ada derana,"Covid-19 asadithayeku wartha weema nisa Polonnaruwa, Lankapura pradeshiya lekam kottashaye gammana 12 k hudekala kere"
2020-04-22 23:48:19,0,,ada derana,UPDATE: Thawath Covid-19 asadithayin 5 deneku haduna ganne.Meratin wartha wana asadithayinge ganana 328 dakwa ihalata - Saukya amathyanshaya
2020-04-22 23:55:08,0,,ada derana,UPDATE: Thawath Covid-19 asadithayin dedeneku haduna ganne.Meratin wartha wana asadithayinge ganana 330 k dakwa ihalata - Saukya amathyanshaya
2020-04-23 07:37:22,0,,ada derana,Gal Oya jathika vanodyanaye wetaleemakata giya awasthawe dee dhadayamkaruwan sidu kala wedi thabeemakin vanajeewi niladhariyeku (25) miya yai
2020-04-23 12:41:04,0,,ada derana,April 1 sita balapawathwena paridi desheeya sancharaka niyojithayin VAT baddhen nidahas kere - Sama cabinet prakashaka
2020-04-23 13:56:09,0,,ada derana,UPDATE: Thawath Covid-19 asadithayin siwu deneku haduna ganne.Meratin wartha wana asadithayinge ganana 334 k dakwa ihalata - Saukya amathyanshaya
2020-04-23 14:53:09,0,,ada derana,Indiyawe siti Sri Lankika sisun 101 deneku regath SriLankan guwan sewaye vishesha guwana yaanaya meratata paminei
2020-04-23 15:39:37,0,,ada derana,Paudgalika rohalwala Covid-19 asadithayin hadunaganeeme PCR parikshana sidu kireemata ha dinakata PCR parikshana ganana 1000 dakwa wedi kireemata piyawara
2020-04-23 17:12:26,0,,ada derana,UPDATE: Thawath Covid-19 asadithayeku haduna ganne.Meratin wartha wana asadithayinge ganana 335 k dakwa ihalata -Saukya amathyanshaya
2020-04-23 17:45:52,0,,ada derana,Thawath Covid-19 asadithayin dedeneku suwaya labaa pitawa yai.Suwaya lebuu ganana 107 dakwa ihalata - Saukya amathyanshaya
2020-04-23 18:40:11,0,,ada derana,Edirineethiya nethi kaalayedi nirodayana regulasi kadakarana aya athadanguwata ganna saukya sewa adyaksha general wedabalana policepathita balaya pawarai
2020-04-23 20:15:51,0,,ada derana,UPDATE: Thawath Covid-19 asadithayin dedeneku haduna ganne.Meratin wartha wana asadithayinge ganana 337 dakwa ihalata - Saukya amathyanshaya
2020-04-23 20:27:24,0,,ada derana,Ada sawasa nawa sanda darshanaya noweema nisa Ramazan upawasa samaya April 25 sita aramba karana bawa Colamba maha palliya niwedanaya karai
2020-04-23 21:04:33,0,,ada derana,UPDATE: Thawath Covid-19 asadithayin thideneku haduna ganne.Meratin wartha wana asadithayinge ganana 340 dakwa ihalata - Saukya amathyanshaya
2020-04-23 21:26:29,0,,ada derana,Welisara nawika hamuda kandawure nawika hamuda sebalun 29 kata Covid-19 asadanaya wee ethi bawa thahawuru wei-Yuda hamudapathi Lt. General Shavendra Silva
2020-04-23 21:39:16,0,,ada derana,"UPDATE:Covid-19 asadanaya wu nawika batayin 29 dena Ja-Ela,Suduwellen Covid-19 asadithayin seweeme meheyumwala niratha wuwan bawa yuda hamudapathi kiyai"
